event_date,event_location,fighter1,fighter2,result_raw,winner,kd_1,kd_2,str_1,str_2,td_1,td_2,sub_1,sub_2,weight_class,method,method_detail,round,time
"April 25, 2026","Las Vegas, Nevada, USA",Ryan Spann,Marcus Buchecha,win,Ryan Spann,1,0,15,8,0,1,0,1,Heavyweight,KO/TKO,Punch,2,2:10
"April 25, 2026","Las Vegas, Nevada, USA",Eric McConico,Rodolfo Vieira,win,Eric McConico,0,1,54,40,2,4,0,1,Middleweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Jackson McVey,Sedriques Dumas,win,Jackson McVey,1,0,21,3,0,0,1,0,Middleweight,SUB,D'Arce Choke,1,2:14
"April 25, 2026","Las Vegas, Nevada, USA",Michelle Montague,Mayra Bueno Silva,win,Michelle Montague,0,0,42,26,2,0,0,1,Women's Bantamweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Cody Durden,Jafel Filho,win,Cody Durden,0,0,34,23,5,2,1,0,Bantamweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Francis Marshall,Lucas Brennan,win,Francis Marshall,0,0,33,9,2,0,0,1,Lightweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Victor Valenzuela,Max Griffin,win,Victor Valenzuela,0,0,53,40,1,4,0,0,Welterweight,U-DEC,,3,5:00
"April 25, 2026","Las Vegas, Nevada, USA",Talita Alencar,Julia Polastri,win,Talita Alencar,0,0,60,78,3,0,0,0,Women's Strawweight,U-DEC,,3,5:00
"April 18, 2026","Winnipeg, Manitoba, Canada",Mike Malott,Gilbert Burns,win,Mike Malott,2,0,56,40,0,0,0,0,Welterweight,KO/TKO,Punches,3,2:08
"April 18, 2026","Winnipeg, Manitoba, Canada",Charles Jourdain,Kyler Phillips,win,Charles Jourdain,0,0,58,36,1,7,0,0,Bantamweight,U-DEC,,3,5:00
