event_name,event_date,fight_url
UFC Fight Night: Strickland vs. Imavov,01/14/2023,http://ufcstats.com/fight-details/5305049e4215d263
UFC Fight Night: Strickland vs. Imavov,01/14/2023,http://ufcstats.com/fight-details/76b6058cddda9238
UFC Fight Night: Strickland vs. Imavov,01/14/2023,http://ufcstats.com/fight-details/c9144a294c73b06f
UFC Fight Night: Strickland vs. Imavov,01/14/2023,http://ufcstats.com/fight-details/9f09e77e46f15766
UFC Fight Night: Strickland vs. Imavov,01/14/2023,http://ufcstats.com/fight-details/b6723b9c6ff4d594
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/4ea48bf2407b405d
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/ce7744d45a698aa6
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/d95eeba3de7ecac5
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/9c1a2ac64c98d2f6
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/c335f44e4f3515ea
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/e0444752d18fda7f
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/c960184a583f1861
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/5f4e944ff1bdcd9c
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/ed6203e849a2bf28
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/efc64d8aae5628c9
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/8f00da6ea8186ce2
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/f87a7812733f7e8f
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,http://ufcstats.com/fight-details/ccb7e2851319345d
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/3c3a9c1ec0604fc2
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/144cd3f62591a5fb
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/11f65de5348e4bc4
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/ecab8b8b36727b8d
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/4a17876e99f6baf3
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/fd7421f421e802bd
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/1779cc4ae925df01
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/4e9d76ed54f1f352
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/a346180c8b109469
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/a1a5d06b0e7ada62
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/2d9d966e0e8df232
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,http://ufcstats.com/fight-details/5bc31abb5842942a
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/a419e6df765aa755
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/f17813d03fcd8e7a
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/5a8f7afc5ea69537
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/972e17c1b98fca06
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/a71764d5da04e3bc
