fighter,fighter_url
Carlos Ulberg,http://ufcstats.com/fighter-details/9014c02eff8b3d62
Paulo Costa,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82
Dominick Reyes,http://ufcstats.com/fighter-details/2e19380f34871c6a
Cub Swanson,http://ufcstats.com/fighter-details/d247691a6c0e9034
Aaron Pico,http://ufcstats.com/fighter-details/5537efc6e496dd84
Kevin Holland,http://ufcstats.com/fighter-details/3a46b268013afede
Mateusz Gamrot,http://ufcstats.com/fighter-details/72db2a14ffa73ece
Tatiana Suarez,http://ufcstats.com/fighter-details/b08012bbe542592a
Chris Padilla,http://ufcstats.com/fighter-details/06626b6287e1ae1e
Vicente Luque,http://ufcstats.com/fighter-details/6d4b63c767106d3a
Charles Radtke,http://ufcstats.com/fighter-details/feedf3053472fe56
Renato Moicano,http://ufcstats.com/fighter-details/b6452706b373eea1
Virna Jandiroba,http://ufcstats.com/fighter-details/7dda2cf308f24a02
Ethyn Ewing,http://ufcstats.com/fighter-details/d776b5814f2400b4
Tommy McMillen,http://ufcstats.com/fighter-details/6b0a6def604de298
Jose Delano,http://ufcstats.com/fighter-details/d7c4956d61ae76a9
Thomas Petersen,http://ufcstats.com/fighter-details/764d39074a352e33
Darrius Flowers,http://ufcstats.com/fighter-details/65db4065e2bc107d
Alice Pereira,http://ufcstats.com/fighter-details/81d2c551886bd5a1
Tresean Gore,http://ufcstats.com/fighter-details/147e70aa6cc48cfc
Dione Barbosa,http://ufcstats.com/fighter-details/27b388f0aab49780
Kai Kamaka III,http://ufcstats.com/fighter-details/eee0ef3e2b14816b
Joe Pyfer,http://ufcstats.com/fighter-details/c1085e1701b13eca
Alexa Grasso,http://ufcstats.com/fighter-details/e8b731feff72294b
Michael Chiesa,http://ufcstats.com/fighter-details/c58f51dedb310998
Lerryan Douglas,http://ufcstats.com/fighter-details/640a0f838f057a81
Yousri Belgaroui,http://ufcstats.com/fighter-details/7674b836ce0698a0
Terrance McKinney,http://ufcstats.com/fighter-details/809bd1a871491508
Tofiq Musayev,http://ufcstats.com/fighter-details/ae81a3ac7b260411
Lance Gibson Jr.,http://ufcstats.com/fighter-details/07bc580bdf3eb9c8
Tyrell Fortune,http://ufcstats.com/fighter-details/bc7f4b2d4c2724a2
Casey O'Neill,http://ufcstats.com/fighter-details/04835018f90b118c
Ricky Simon,http://ufcstats.com/fighter-details/5987b2458f4b5290
